song,song_id,artist,artist_id,category,genres,audio_ft_danceability,audio_ft_energy,audio_ft_key,audio_ft_loudness,audio_ft_mode,audio_ft_speechiness,audio_ft_acousticness,audio_ft_instrumentalness,audio_ft_liveness,audio_ft_valence,audio_ft_tempo,audio_ft_duration_ms,audio_ft_time_signature
Diamonds,5hvwx5i67IwnCkjl9VHkNv,Sam Smith,2wY79sveU1sp5g7SokKOiI,pop,"['dance', 'pop', 'post-teen', 'uk']",0.653,0.667,10.0,-6.7639999999999985,0.0,0.0423,0.154,0.0,0.107,0.556,104.181,213869.0,4.0
Splinter (with salem ilese),7ED8YfAot9P3QKiH5owgA7,MYRNE,41DKMtAnhVo7aDeluAHDJg,pop,"['singaporean', 'pop', 'gaming', 'melodic', 'vapor', 'edm', 'electro', 'future']",0.679,0.8079999999999999,1.0,-5.972,1.0,0.0653,0.0499,0.000112,0.365,0.374,130.95,223511.0,4.0
Freefall (feat. Oliver Tree),5VsZwt7AyePLXFrlHhMvoI,Whethan,0vqJkZ0RpLZixt3lTmD8vP,pop,"['pop', 'tropical', 'indie', 'vapor', 'edm', 'electropop']",0.5589999999999999,0.674,7.0,-6.5539999999999985,1.0,0.0552,0.006809999999999999,0.0,0.546,0.8079999999999999,127.009,155498.0,4.0
Super Bad Mantra,39t0iUvlUFXXBzwxXfnTWD,JAWNY,25pd339V2rRJo84USlcSRP,pop,"['indie', 'bedroom', 'modern']",0.672,0.831,4.0,-3.104,0.0,0.0889,0.149,0.0,0.7709999999999999,0.728,150.048,171493.0,4.0
the car,1MXhawGVPUqa8PBhiLMLUh,Nightly,3qDMrpZHtZEtVl5i1l7hP3,pop,"['indie', 'pop', 'electropop']",0.723,0.643,7.0,-4.65,1.0,0.044,0.292,0.0,0.139,0.826,105.966,165249.0,4.0
Impact (feat. Robyn & Channel Tres),0Gv33C5DRmJueolmdFjfU7,SG Lewis,0GG2cWaonE4JPrjcCCQ1EG,pop,"['pop', 'indie', 'alternative', 'vapor', 'edm', 'uk']",0.67,0.7809999999999999,11.0,-4.464,0.0,0.259,0.0224,2.69e-06,0.298,0.8390000000000001,116.045,283407.0,4.0
Hot Stuff,00ETaeHUQ6lops3oWU1Wrt,Kygo,23fqKkggKUBHNkbKtXEls4,pop,"['edm', 'pop', 'tropical']",0.6809999999999999,0.773,5.0,-5.749,1.0,0.14800000000000002,0.019,1.28e-06,0.11,0.429,119.961,199008.0,4.0
anthems,2ljvO8ZpKFMT3HXwCjW4Yw,Charli XCX,25uiPmTg16RbhZWAqwLBy5,pop,"['hyperpop', 'pop', 'indie', 'post-teen', 'escape', 'dance', 'candy', 'art', 'metropopolis', 'electropop', 'uk']",0.643,0.866,9.0,-4.364,1.0,0.0752,0.00224,5.69e-06,0.218,0.391,149.887,171813.0,4.0
Sad Lullaby,61dXVEGgk0YrSX0lDH9qfY,HYRA,2FuelQeDO3E7kIrTfkySKS,pop,['latinx'],0.911,0.355,9.0,-8.536,1.0,0.0545,0.0271,0.0198,0.213,0.396,125.044,205440.0,3.0
Why Do You Lie To Me (feat. Lil Baby),1Mu0qs9DQ8OfhiPvHxZMMM,Topic,0u6GtibW46tFX7koQ6uNJZ,pop,"['pop', 'tropical', 'german', 'edm', 'dance']",0.65,0.738,4.0,-6.46,0.0,0.158,0.0539,0.0,0.206,0.336,119.827,171291.0,4.0
Body Back (feat. Maia Wright),1z1XegUChLLQfcbtIK8ABn,Gryffin,2ZRQcIgzPCVaT9XKhXZIzh,pop,"['dance', 'pop', 'tropical', 'edm']",0.6859999999999999,0.83,8.0,-4.437,1.0,0.0369,0.0948,1.33e-06,0.182,0.486,123.032,214634.0,4.0
Who's Laughing Now,73h4oe03sZy8bXfQLfnqMv,Ava Max,4npEfmQ6YuiwW1GpUmaq3F,pop,"['dance', 'pop']",0.648,0.6409999999999999,7.0,-5.521,1.0,0.0389,0.00565,3.63e-06,0.109,0.505,184.021,180348.0,4.0
Keep It Simple (feat. Wilder Woods),58fGC7ZRlPhW1J7kLx1goK,Matoma,4YXycRbyyAE0wozTk7QMEq,pop,"['pop', 'tropical', 'edm', 'norwegian', 'dance', 'electro', 'electropop']",0.629,0.82,1.0,-5.651,1.0,0.0543,0.0142,4.34e-05,0.039,0.329,113.95,191579.0,4.0
Can I Call You Tonight?,64lsIF5pw0sJY0gV5kz0RN,Dayglow,6eJa3zG1QZLRB3xgRuyxbm,pop,"['indie', 'austindie', 'modern']",0.6409999999999999,0.8420000000000001,9.0,-7.27,1.0,0.0292,0.132,0.91,0.419,0.5,129.98,278769.0,4.0
Nectarines (feat. Royal & the Serpent),5M3B1uoRcVUEQi8FnKxZ0V,MELVV,7cae9Fkz2R1NDHWtdnaE8d,pop,"['indie', 'vapor']",0.632,0.8029999999999999,1.0,-2.839,0.0,0.0432,0.126,0.0117,0.411,0.586,113.049,202965.0,4.0
Mama (feat. Sting),4VNtWSKDhvc2x99NiM5kbj,GASHI,0JOxt5QOwq0czoJxvSc5hS,pop,"['trap', 'pop']",0.748,0.8220000000000001,10.0,-5.6110000000000015,0.0,0.0428,0.0654,7.92e-06,0.2,0.8640000000000001,112.951,196736.0,4.0
Levitating (feat. Madonna and Missy Elliott) [The Blessed Madonna Remix],0pk1hxhJLBSZZ5RKBhcwOa,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,pop,"['dance', 'pop', 'uk']",0.8079999999999999,0.655,11.0,-7.34,0.0,0.139,0.0373,0.0,0.208,0.56,116.029,250280.0,4.0
Heat Waves - Diplo Remix,6A53tLi9vpLhmgaEvzRyip,Glass Animals,4yvcSjfu4PC0CYQyLy4wSq,pop,"['shiver', 'indietronica', 'gauze']",0.568,0.565,11.0,-7.187,1.0,0.338,0.116,0.0,0.428,0.403,137.075,141898.0,4.0
Daylight,6Ed1q0X8oSKSm4IIhiQbYg,Joji,3MZsBdqDrRTJihTHQrO6Dq,pop,"['viral', 'alternative']",0.528,0.7490000000000001,7.0,-7.5710000000000015,1.0,0.0479,0.00488,9.6e-05,0.0949,0.7290000000000001,163.94400000000005,163906.0,4.0
Imma Be,5OiLJ8tjUPFiPX2gVM8fxJ,Black Eyed Peas,1yxSLGMDHlW21z4YXirZDS,pop,"['dance', 'pop']",0.597,0.517,0.0,-6.962999999999999,1.0,0.365,0.179,0.0,0.307,0.412,92.035,257560.0,4.0
I'm Yours,1EzrEOXmMH3G43AXT1y7pA,Jason Mraz,4phGZZrJZRo4ElhRtViYdl,pop,"['neo', 'pop', 'acoustic']",0.6859999999999999,0.457,11.0,-8.322000000000001,1.0,0.0468,0.595,0.0,0.105,0.718,150.953,242187.0,4.0
Memories,2b8fOow8UzyDFAE27YhOZM,Maroon 5,04gDigrS5kc9YWfZHwBETP,pop,['pop'],0.764,0.32,11.0,-7.209,1.0,0.0546,0.8370000000000001,0.0,0.0822,0.575,91.019,189486.0,4.0
Someone You Loved,2TIlqbIneP0ZY1O0EzYLlc,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,pop,"['pop', 'uk']",0.501,0.405,1.0,-5.6789999999999985,1.0,0.0319,0.7509999999999999,0.0,0.105,0.446,109.891,182161.0,4.0
Perfect,0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,pop,"['pop', 'uk']",0.599,0.448,8.0,-6.312,1.0,0.0232,0.163,0.0,0.106,0.168,95.05,263400.0,3.0
Shallow - Radio Edit,6QfS2wq5sSC1xAJCQsTSlj,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,pop,"['dance', 'pop']",0.575,0.33,7.0,-6.557,1.0,0.031,0.416,0.0,0.0872,0.277,95.801,217213.0,4.0
This City,3H3r2nKWa3Yk5gt8xgmsEt,Sam Fischer,6L1XC7NrmgWRlwAeLJvVtA,pop,"['pop', 'australian', 'uk']",0.605,0.377,11.0,-6.212999999999999,1.0,0.0443,0.733,0.0,0.0808,0.519,73.877,194853.0,4.0
I'm Not The Only One,0fioLzGM8ngbD1w6fMmm45,Sam Smith,2wY79sveU1sp5g7SokKOiI,pop,"['dance', 'pop', 'post-teen', 'uk']",0.453,0.496,5.0,-5.785,1.0,0.0453,0.5539999999999999,2.65e-05,0.0772,0.501,80.994,239317.0,4.0
All of Me,3U4isOIWM3VvDubwSI3y7a,John Legend,5y2Xq6xcjJb2jVM54GHK3t,pop,"['neo', 'pop', 'r&b', 'urban']",0.422,0.264,8.0,-7.064,1.0,0.0322,0.922,0.0,0.132,0.331,119.93,269560.0,4.0
